Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Características de roupas esportivas (product.metafields.shopify.activewear-clothing-features),Atividade (product.metafields.shopify.activity),Grupo de idade (product.metafields.shopify.age-group),Características de roupas (product.metafields.shopify.clothing-features),Cor (product.metafields.shopify.color-pattern),Estado (product.metafields.shopify.condition),Tecido (product.metafields.shopify.fabric),Decote (product.metafields.shopify.neckline),Características do vestuário exterior (product.metafields.shopify.outerwear-clothing-features),Tamanho (product.metafields.shopify.size),Tipo de comprimento da manga (product.metafields.shopify.sleeve-length-type),Logotipo esportivo (product.metafields.shopify.sports-logo),Gênero alvo (product.metafields.shopify.target-gender),Tipo de comprimento do top (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,Camisa Corinthians I 25/26 Kayke Nº 31 Torcedor Nike Masculina - Branco+Preto,"<h2 data-v-705c2b21="""" id=""product-features-anchor"" class=""features--title"">
    Descrição do produto
  </h2> <div data-v-705c2b21="""" class=""feature__main-content"">
<p data-v-705c2b21="""" class=""features--description"">
      Todo poderoso Timão! A Camisa Corinthians I 25/26 Kayke Nº 31 Torcedor Nike para eternizar um dos momentos mais lendários da história do Time do Povo. Com um visual que resgata o estilo total 90, símbolo da era em que o Timão conquistou o mundo, a camisa do Corinthians une o passado e o presente em um design que exala tradição, celebrando a habilidade do jogador em campo. Com detalhes únicos que remetem ao manto da época e o número 31 em destaque, essa camisa Corinthians masculina traz o estilo que você precisa da bancada ao dia a dia. Por fim, o escudo centralizado exibe o orgulho de pertencer à Fiel Torcida, prestando homenagem a um dos seus grandes craques. Peça já o manto que colocou o Corinthians no topo do mundo!
    </p> <ul data-v-705c2b21="""" class=""features--attributes"">
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Nome:</strong> Camisa Corinthians I 25/26 Kayke Nº 31 Torcedor Nike Masculina
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Gênero:</strong> Masculino
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Indicado para:</strong> Jogo
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Clube:</strong> Nacional
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Time:</strong> Corinthians SP
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Gola:</strong> Gola Careca
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Material:</strong> Poliéster
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Tecnologia:</strong> Dri-Fit
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Definição da Tecnologia:</strong> Tecido de desempenho que afasta o suor da pele para ajudá-lo a se manter seco e confortável.
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Manga:</strong> Manga Curta
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Escudo:</strong> Bordado
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Patrocínio:</strong> Sem patrocínio
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Número:</strong> Com número
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Composição:</strong> 100% Poliéster
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Dimensões Aproximadas:</strong> Medidas da Peça ( Tamanho M) - Ombro: 45 cm, Tórax: 110 cm, Comprimento: 73 cm
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Garantia do Fabricante:</strong> Contra defeito de fabricação
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Kit composto por:</strong> 1 Camisa Corinthians I 25/26 s/n Torcedor Nike Masculina
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Nome do Produto 1:</strong> Camisa Corinthians I 25/26 s/n Torcedor Nike Masculina
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Origem:</strong> Nacional
      </li> <li data-v-705c2b21="""">
<strong data-v-705c2b21=""""> Marca: </strong> <a data-v-705c2b21="""" href=""https://www.shoptimao.com.br/nike"" target=""_blank"" rel=""noreferrer noopener"" class=""brand-link"">
          Nike
        </a>
</li>
</ul>
</div>",Minha loja,,"","",true,EP,EP,,,,,,,,SKU_1768057612181_488,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/968,https://cdn.shopify.com/s/files/1/0745/0771/4750/files/SGL-03D2-028_zoom1_9037b523-7666-4574-afae-05e77dd29902.jpg?v=1768057614,1,"",false,,,,,,,,,,,,,,,,,,kg,,,active
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,,,,,,,,,P,,,,,,,,SKU_1768057612181_226,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/422,https://cdn.shopify.com/s/files/1/0745/0771/4750/files/SGL-03D2-028_zoom2_af555f79-bb03-4f6e-a19a-91a507e545b7.jpg?v=1768057614,2,"",,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,,,,,,,,,M,,,,,,,,SKU_1768057612181_987,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/778,,,,,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,,,,,,,,,G,,,,,,,,SKU_1768057612181_617,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/463,,,,,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,,,,,,,,,GG,,,,,,,,SKU_1768057612181_343,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/765,,,,,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,,,,,,,,,Egg,,,,,,,,SKU_1768057612181_502,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/817,,,,,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-i-25-26-kayke-nº-31-torcedor-nike-masculina-branco-preto-1,,,,,,,,,Eegg,,,,,,,,SKU_1768057612181_781,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057612181/691,,,,,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-ii-25-26-fabrizio-anglieri-nº-26-torcedor-nike-masculina-preto-branco-1,Camisa Corinthians II 25/26 Fabrizio Anglieri Nº 26 Torcedor Nike Masculina - Preto+Branco,"<h2 data-v-705c2b21="""" id=""product-features-anchor"" class=""features--title"">
    Descrição do produto
  </h2> <div data-v-705c2b21="""" class=""feature__main-content"">
<p data-v-705c2b21="""" class=""features--description"">
      A loucura que dominou o mundo! A Camisa Corinthians II 25/26 s/n Torcedor Nike Masculina chega para eternizar um dos momentos mais lendários da história do Time do Povo. Com um visual que resgata o estilo total 90, símbolo da era que o Timão conquistou o mundo, a camisa do Corinthians une o passado e o presente em um design que exala identidade e tradição.
Vestida por Fabrizio Angileri, o camisa 26 do Corinthians e especialista na lateral-esquerda, esse manto representa cruzamentos precisos, intensidade e apoio constante ao ataque. Com detalhes únicos que remetem ao manto da época, essa camisa Corinthians masculina traz o estilo que você precisa da bancada ao dia a dia. O tecido tecnológico afasta a umidade do corpo, enquanto o escudo centralizado exibe o orgulho de pertencer à Fiel Torcida. Não perca tempo – peça já o manto que colocou o Corinthians no topo do mundo!
    </p> <ul data-v-705c2b21="""" class=""features--attributes"">
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Nome:</strong> Camisa Corinthians II 25/26 Fabrizio Anglieri Nº 26 Torcedor Nike Masculina
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Gênero:</strong> Masculino
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Indicado para:</strong> Jogo
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Clube:</strong> Nacional
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Time:</strong> Corinthians SP
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Gola:</strong> Gola Careca
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Material:</strong> Poliéster
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Tecnologia:</strong> Dri-Fit
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Definição da Tecnologia:</strong> Tecido de desempenho que afasta o suor da pele para ajudá-lo a se manter seco e confortável
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Manga:</strong> Manga Curta
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Escudo:</strong> Bordado
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Patrocínio:</strong> Sem patrocínio
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Número:</strong> Com número
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Composição:</strong> 100% Poliéster
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Dimensões Aproximadas:</strong> Medidas da Peça ( Tamanho M)- Ombro: 48 cm, Tórax: 106 cm, ,Comprimento: 73 cm
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Garantia do Fabricante:</strong> Contra defeito de fabricação
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Kit composto por:</strong> 1 Camisa Corinthians II 25/26 s/n Torcedor Nike Masculina
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Nome do Produto 1:</strong> Camisa Corinthians II 25/26 s/n Torcedor Nike Masculina
      </li>
<li data-v-705c2b21="""">
<strong data-v-705c2b21="""">Origem:</strong> Nacional
      </li> <li data-v-705c2b21="""">
<strong data-v-705c2b21=""""> Marca: </strong> <a data-v-705c2b21="""" href=""https://www.shoptimao.com.br/nike"" target=""_blank"" rel=""noreferrer noopener"" class=""brand-link"">
          Nike
        </a>
</li>
</ul>
</div>",Minha loja,,"","",true,EP,EP,,,,,,,,SKU_1768057608876_684,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057608876/334,https://cdn.shopify.com/s/files/1/0745/0771/4750/files/SGL-03CH-026_zoom1_6e8ce901-e05d-4c9e-af62-84a1a65b8f38.jpg?v=1768057611,1,"",false,,,,,,,,,,,,,,,,,,kg,,,active
camisa-corinthians-ii-25-26-fabrizio-anglieri-nº-26-torcedor-nike-masculina-preto-branco-1,,,,,,,,,P,,,,,,,,SKU_1768057608876_846,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057608876/214,https://cdn.shopify.com/s/files/1/0745/0771/4750/files/SGL-03CH-026_zoom2_59d06504-9252-4c02-87e0-1bd394aef4ea.jpg?v=1768057611,2,"",,,,,,,,,,,,,,,,,,,kg,,,
camisa-corinthians-ii-25-26-fabrizio-anglieri-nº-26-torcedor-nike-masculina-preto-branco-1,,,,,,,,,M,,,,,,,,SKU_1768057608876_687,0.0,,0,deny,manual,379.99,399.99,true,true,,,,,1768057608876/454,,,,,,,,,,,,,,,,,,,,,,kg,,,
